id,product_title,cluster
235_right,Máy tính xách tay HP 15S-FQ1022TU 8VY75PA_Hàng chính hãng (Core i7-1065G7/ 8GB DDR4 2666MHz/ 512GB PCIe NVMe/ 15.6 FHD/ Win10),17
239_right,Máy tính xách tay HP 15S-FQ1107TU 193Q3PA_Hàng chính hãng,17
238_right,Máy tính xách tay HP 15S-FQ1017TU 8VY69PA_Hàng chính hãng,17
232_right,Máy tính xách tay HP Pavilion 14-ce3018TU  8QN89PA_Hàng chính hãng (Core i5-1035G1/ 4GB/ 256GB SSD/ 14 FHD/ WIN10),17
236_right,Máy tính xách tay HP 15S-DU1037TX 8RK37PA_Hàng chính hãng (Core i5-10210U/ 8GB DDR4 2666MHz/ 512GB PCIe NVMe/ MX130 2GB/ 15.6 HD/ Win10),17
230_right,Máy tính xách tay HP Pavilion Gaming 15-dk1074TX 1K3U8PA_Hàng chính hãng,17
229_right,Máy tính xách tay HP Pavilion Gaming 15-dk1075TX 1K3V0PA_Hàng chính hãng,17
228_right,Máy tính xách tay HP Envy 13-ba0046TU 171M7PA_Hàng chính hãng,17
226_right,Máy tính xách tay HP Spectre x360 Convertible 13-aw0181TU 8YQ35PA_Hàng chính hãng,17
103_left,"Máy tính xách tay Lenovo ThinkPad X280,i5  Ha?ng chi?nh ha?ng",17
237_right,Máy tính xách tay HP 15S-FQ1021TU 8VY74PA_Hàng chính hãng (Core i5-1035G1/ 8GB DDR4 2666MHz/ 512GB PCIe NVMe/ 15.6 HD/ Win10),17
231_right,Máy tính xách tay HP Pavilion Gaming 15-ec1054AX 1N1H6PA_Hàng chính hãng,17
199_right,HP Pavilion x360 14-dh1137TU i3 10110U/4GB/256GB SSD/14.0FHD Touch/WIN10 - Vàng,18
193_right,HP Pavilion 15-cs3116TX i5-1035G1/4GB/256GB SSD/2GB MX250/WIN10 - Vàng,18
185_right,HP Pavilion 14-ce2041TU/Core i5-8265U/4GB/1TB/WIN10 - Vàng,18
194_right,HP Pavilion x360 14-dh0103TU i3 8145U/4GB/1TB/WIN10 - Vàng,18
176_right,HP Pavilion 15-cs2031TU/i3-8145U/4GB/1TB/WIN10 - Vàng,18
424_right,Laptop HP Pavilion 15-cs1009TU-I5 8265U-4GB-1TB -WIN 10-VÀNG-5JL43PA,19
449_right,Laptop HP Pavilion X360 14-ba129TU -3MR85PA_Win10_Vàng,19
145_left,Laptop HP Pavilion 15-eg0070TU i5-1135G7/8GD4/512GSSD/15.6FHD/Wlac/BT5/3C41WHr/ALUp/VÀNG/W10SL/OFFICE_2L9H3PA Hàng chính hãng,20
262_left,"Laptop HP Pavilion Gaming 15-dk1086TX (Core i7-10750H,8GB RAM,512GB SSD,GF GTX 1650Ti 4GB,15.6""FHD,3cell,Win 10 Home 64,Black)_206R3PA - Hàng Chính Hãng",20
146_left,Laptop HP Pavilion 15-eg0070TU i5-1135G7/8GD4/512GSSD/15.6FHD/Wlac/BT5/3C41WHr/ALUp/VÀNG/W10SL/OFFICE_2L9H3PA Hàng chính hãng,20
134_left,Laptop HP Pavilion x360 14-dw1019TU i7-1165G7/8GD4/512GSSD/14.0FHDT/PEN/FP/WL/BT/3C/VÀNG/W10SL/OFFICE_2H3N7PA Hàng chính hãng,20
166_left,Laptop HP Pavilion x360 14-dw1018TU i5-1135G7/8GD4/512GSSD/14.0FHDT/PEN/FP/WL/BT/3C/VÀNG/W10SL/OFFICE_2H3N6PA Hàng chính hãng,20
418_right,Laptop HP 15 da0055TU 4NA89PA  i3 7020u,21
417_right,Laptop HP 15 da0054TU 4ME68PA i3 7020u - 15.6inch Vàng,21
409_right,Laptop HP 15-da0050TU 4ME67PA -I3-7020U 15.6inch B?c,22
408_right,Laptop HP 15-da0037TX 4ME82PA - I3-7020U 15.6inch,22
407_right,Laptop HP 15-da0443TX 5SL06PA - I3-7020U 15.6 inch B?c,22
112_left,Laptop HP 348 G7 9PG79PA (Core i3-8130U/4Gb/256Gb SSD/14 inch/VGA ON/Dos/Silver)-NBHP134,23
426_right,Laptop HP 15-da1030TX -I7-8565U-8GB-1TB -VGA 2G-WIN10 -B?C-5NM13PA,23
